receiver_point_number,tx_number,rx_grid_number,csi_magnitude_dBm,csi_phase_rad,x_loc,y_loc,z_loc
1,20,22,-56.47099680160048,2.87946189621595,0.07299250000000003,0.1618875,0.07499999999999997
1,20,24,-56.03016145873436,-2.784652554243405,0.0,0.28643749999999996,0.45
1,20,25,-54.93564120648215,-1.156856760628944,0.0,0.28643749999999996,0.39999999999999997
1,20,26,-54.56990732773161,-1.892785349114859,0.0,0.28643749999999996,0.3499999999999999
1,20,28,-55.24094389650732,2.4548119347138697,0.0,0.28643749999999996,0.3000000000000001
1,20,29,-54.788742045424556,-1.1888842863213753,0.0,0.28643749999999996,0.25000000000000006
1,20,30,-54.429485062721774,-0.31841704340262084,0.0,0.28643749999999996,0.19999999999999998
1,20,31,-54.79520349589839,-1.1896915155654373,0.0,0.28643749999999996,0.14999999999999994
1,20,32,-55.44351519200202,2.416518459459499,0.0,0.28643749999999996,0.09999999999999999
1,20,33,-54.97727437083058,-1.887361566070351,0.0,0.28643749999999996,0.04999999999999994
1,20,34,-55.10092126242227,-1.0532759839068562,0.0,0.28643749999999996,0.0
1,20,35,-65.31213152412656,-2.708696161656219,0.19504999999999997,0.0,0.45
1,20,36,-67.02956557669422,-0.12142365427784453,0.19504999999999997,0.0,0.39999999999999997
1,20,37,-64.66892880664193,-1.7027715550306988,0.6146525000000002,0.0046074999999998765,0.3499999999999999
1,20,38,-67.63178797618552,0.11214658924712756,0.6146525000000002,0.0046074999999998765,0.3000000000000001
1,20,39,-65.9330228125633,1.1647011670461156,0.6146525000000002,0.0046074999999998765,0.25000000000000006
1,20,40,-65.56109747437974,2.1342811841272407,0.6146525000000002,0.0046074999999998765,0.19999999999999998
1,20,41,-66.79035217486678,1.666621299203492,0.6146525000000002,0.0046074999999998765,0.14999999999999994
1,20,42,-64.76493133997734,0.7380720889562012,0.6146525000000002,0.0046074999999998765,0.09999999999999999
1,20,43,-64.18199377086648,-1.1097111455431319,0.6146525000000002,0.0046074999999998765,0.04999999999999994
2,20,22,-58.376085312722225,-2.469372073250313,0.19799250000000004,0.1618875,0.07499999999999997
2,20,24,-55.70564609147585,2.970480283239292,0.049999999999999996,0.28643749999999996,0.45
2,20,25,-53.76281274724457,-1.6256368218355532,0.049999999999999996,0.28643749999999996,0.39999999999999997
2,20,26,-54.69438112734692,-1.909707160788937,0.049999999999999996,0.28643749999999996,0.3499999999999999
2,20,28,-54.85361350491616,2.8104168556981546,0.049999999999999996,0.28643749999999996,0.3000000000000001
2,20,29,-54.346817627699906,-0.6988342851999717,0.049999999999999996,0.28643749999999996,0.25000000000000006
2,20,30,-54.199937060989846,0.20352062792237166,0.049999999999999996,0.28643749999999996,0.19999999999999998
2,20,31,-54.20260800057023,-0.6984556744895466,0.049999999999999996,0.28643749999999996,0.14999999999999994
2,20,32,-54.94235507847958,2.822304668477232,0.049999999999999996,0.28643749999999996,0.09999999999999999
2,20,33,-54.59013106286318,-1.9209034362638084,0.049999999999999996,0.28643749999999996,0.04999999999999994
2,20,34,-53.84109577619459,-1.6260779357780983,0.049999999999999996,0.28643749999999996,0.0
2,20,35,-54.708784222247424,-1.9945545964359996,0.24505000000000002,0.0,0.45
2,20,36,-75.05548588730474,1.9089430816485138,0.24505000000000002,0.0,0.39999999999999997
2,20,37,-53.66079070103509,2.4751070148335326,0.6646525000000001,0.0046074999999998765,0.3499999999999999
2,20,38,-53.624796773035,0.6230249695386777,0.6646525000000001,0.0046074999999998765,0.3000000000000001
2,20,39,-54.50799191613295,-2.8372495371352793,0.6646525000000001,0.0046074999999998765,0.25000000000000006
2,20,40,-54.72621160682495,-1.8566439906409462,0.6646525000000001,0.0046074999999998765,0.19999999999999998
2,20,41,-54.398029956197036,-2.841488457189684,0.6646525000000001,0.0046074999999998765,0.14999999999999994
2,20,42,-53.60242611932598,0.6530335610176603,0.6646525000000001,0.0046074999999998765,0.09999999999999999
2,20,43,-53.63718622844747,2.4436607376889556,0.6646525000000001,0.0046074999999998765,0.04999999999999994
3,20,22,-52.16603057184135,1.157466469852611,0.32299250000000007,0.1618875,0.07499999999999997
3,20,24,-54.521857172225516,1.7607566041018499,0.09999999999999999,0.28643749999999996,0.45
3,20,25,-54.40991641415107,-2.6069347883156824,0.09999999999999999,0.28643749999999996,0.39999999999999997
3,20,26,-54.17636167048645,-2.0212927437400943,0.09999999999999999,0.28643749999999996,0.3499999999999999
3,20,28,-53.885880836294156,2.6529528231854704,0.09999999999999999,0.28643749999999996,0.3000000000000001
3,20,29,-54.46544944477269,-0.6288125783857603,0.09999999999999999,0.28643749999999996,0.25000000000000006
3,20,30,-53.9568347676627,0.002274589102274227,0.09999999999999999,0.28643749999999996,0.19999999999999998
3,20,31,-55.43119653985977,-0.7487009892193671,0.09999999999999999,0.28643749999999996,0.14999999999999994
3,20,32,-54.00196379990844,2.65549167532021,0.09999999999999999,0.28643749999999996,0.09999999999999999
3,20,33,-54.26488164388942,-2.100186086731988,0.09999999999999999,0.28643749999999996,0.04999999999999994
3,20,34,-54.1213666553331,-2.664157598036084,0.09999999999999999,0.28643749999999996,0.0
3,20,35,-56.72972297405885,1.2323658516525717,0.2950500000000001,0.0,0.45
3,20,36,-75.53967082366745,-2.991428185856812,0.2950500000000001,0.0,0.39999999999999997
3,20,37,-54.45754644712881,-2.1500634452749274,0.7146525000000001,0.0046074999999998765,0.3499999999999999
3,20,38,-54.44286542278327,2.718278401225714,0.7146525000000001,0.0046074999999998765,0.3000000000000001
3,20,39,-53.657652736958156,-0.8449484189299314,0.7146525000000001,0.0046074999999998765,0.25000000000000006
3,20,40,-53.59024055096138,0.038879042092925045,0.7146525000000001,0.0046074999999998765,0.19999999999999998
3,20,41,-53.670810162770664,-0.8394110235960847,0.7146525000000001,0.0046074999999998765,0.14999999999999994
3,20,42,-54.27633979489429,2.7296689753423404,0.7146525000000001,0.0046074999999998765,0.09999999999999999
3,20,43,-54.3241690749925,-2.113968330079639,0.7146525000000001,0.0046074999999998765,0.04999999999999994
4,20,22,-51.627233210993744,-2.1358948076508733,0.44799250000000007,0.1618875,0.07499999999999997
4,20,24,-53.60044273013398,-0.32041368026290884,0.15000000000000005,0.28643749999999996,0.45
4,20,25,-53.79412225595381,2.339034114943166,0.15000000000000005,0.28643749999999996,0.39999999999999997
4,20,26,-53.18748420171596,-3.0765312914191294,0.15000000000000005,0.28643749999999996,0.3499999999999999
4,20,28,-53.577046431843776,2.3229290082855716,0.15000000000000005,0.28643749999999996,0.3000000000000001
4,20,29,-52.429875333450305,-0.7144318593568738,0.15000000000000005,0.28643749999999996,0.25000000000000006
4,20,30,-52.17110573135446,0.29198739798842144,0.15000000000000005,0.28643749999999996,0.19999999999999998
4,20,31,-52.60232320126676,-0.7163688555713467,0.15000000000000005,0.28643749999999996,0.14999999999999994
4,20,32,-53.63377194067525,2.3224172459804047,0.15000000000000005,0.28643749999999996,0.09999999999999999
4,20,33,-53.107950173223344,-3.054408066585954,0.15000000000000005,0.28643749999999996,0.04999999999999994
4,20,34,-53.99116600533877,2.3390978310059105,0.15000000000000005,0.28643749999999996,0.0
4,20,35,-56.89541216731877,3.0368204479991134,0.34505,0.0,0.45
4,20,36,-74.13715384093463,2.9874246597621816,0.34505,0.0,0.39999999999999997
4,20,37,-54.757503972612355,-1.6466654889138665,0.7646525000000002,0.0046074999999998765,0.3499999999999999
4,20,38,-53.77038599606466,2.691541522974504,0.7646525000000002,0.0046074999999998765,0.3000000000000001
4,20,39,-53.83005464146102,-0.9393473502269035,0.7646525000000002,0.0046074999999998765,0.25000000000000006
4,20,40,-53.9504656686603,0.012267407431164374,0.7646525000000002,0.0046074999999998765,0.19999999999999998
4,20,41,-53.88153899901083,-0.9433326893712658,0.7646525000000002,0.0046074999999998765,0.14999999999999994
4,20,42,-53.78594466290713,2.6879143156549588,0.7646525000000002,0.0046074999999998765,0.09999999999999999
4,20,43,-54.4465798587132,-1.5987923040788834,0.7646525000000002,0.0046074999999998765,0.04999999999999994
5,20,22,-51.0614906877865,-0.5601452032643627,0.5729925000000001,0.1618875,0.07499999999999997
5,20,24,-52.93149931316837,2.9738445730317893,0.19999999999999998,0.28643749999999996,0.45
5,20,25,-52.513955947451116,0.05400811335837212,0.19999999999999998,0.28643749999999996,0.39999999999999997
5,20,26,-53.01942852255764,1.552254734038598,0.19999999999999998,0.28643749999999996,0.3499999999999999
5,20,28,-51.851222926812824,0.9266990417856398,0.19999999999999998,0.28643749999999996,0.3000000000000001
5,20,29,-52.122891634074875,-1.9650446879867203,0.19999999999999998,0.28643749999999996,0.25000000000000006
5,20,30,-52.1162863266847,-0.738736428330177,0.19999999999999998,0.28643749999999996,0.19999999999999998
5,20,31,-52.024860225018195,-1.9545692803281753,0.19999999999999998,0.28643749999999996,0.14999999999999994
5,20,32,-51.87758325713009,0.9229126370341486,0.19999999999999998,0.28643749999999996,0.09999999999999999
5,20,33,-53.03116426741913,1.6200510336279506,0.19999999999999998,0.28643749999999996,0.04999999999999994
5,20,34,-52.247283115670825,0.061968599313665045,0.19999999999999998,0.28643749999999996,0.0
